iteration,nodes_num,tau1,tau2,mu,min_community,max_community,generation,best_history,avg_history,nmi_score
1,100,2.0,3.5,0.05,10,20,0,0.0565761215647592,0.04453195819650639,1.0
1,100,2.0,3.5,0.05,10,20,1,0.05926375657081496,0.04779027082370865,1.0
1,100,2.0,3.5,0.05,10,20,2,0.059708574211190066,0.049720638914207964,1.0
1,100,2.0,3.5,0.05,10,20,3,0.061478480190787776,0.05089058734657695,1.0
1,100,2.0,3.5,0.05,10,20,4,0.06788853650314022,0.052636582427049924,1.0
1,100,2.0,3.5,0.05,10,20,5,0.06648697074504609,0.05376334452921126,1.0
1,100,2.0,3.5,0.05,10,20,6,0.06859868396408991,0.05508769930951817,1.0
1,100,2.0,3.5,0.05,10,20,7,0.0682287829789359,0.05651180249472462,1.0
1,100,2.0,3.5,0.05,10,20,8,0.0744640337624393,0.05844267002959208,1.0
1,100,2.0,3.5,0.05,10,20,9,0.0704762826355679,0.05983523018142317,1.0
1,100,2.0,3.5,0.05,10,20,10,0.07292512080310656,0.061762944973716746,1.0
1,100,2.0,3.5,0.05,10,20,11,0.08133139382437035,0.06398214798536628,1.0
1,100,2.0,3.5,0.05,10,20,12,0.08438112599732794,0.06733729038944175,1.0
1,100,2.0,3.5,0.05,10,20,13,0.08438112599732794,0.07064367453707751,1.0
1,100,2.0,3.5,0.05,10,20,14,0.0888979760016981,0.07505592216159523,1.0
1,100,2.0,3.5,0.05,10,20,15,0.09324782429547124,0.07915810847931677,1.0
1,100,2.0,3.5,0.05,10,20,16,0.10145275880582853,0.08341068998239459,1.0
1,100,2.0,3.5,0.05,10,20,17,0.10196156775587159,0.08826041965813033,1.0
1,100,2.0,3.5,0.05,10,20,18,0.10894754585523611,0.09282939916842511,1.0
1,100,2.0,3.5,0.05,10,20,19,0.11819975277503779,0.09704934510357227,1.0
1,100,2.0,3.5,0.05,10,20,20,0.1178829177539987,0.10187876924421582,1.0
1,100,2.0,3.5,0.05,10,20,21,0.12359843424190582,0.1069241718588071,1.0
1,100,2.0,3.5,0.05,10,20,22,0.13386825906179378,0.11318892107530372,1.0
1,100,2.0,3.5,0.05,10,20,23,0.14242904768445105,0.11854259011849316,1.0
1,100,2.0,3.5,0.05,10,20,24,0.1424306084481015,0.12379897676335076,1.0
1,100,2.0,3.5,0.05,10,20,25,0.15675841875913046,0.13164868146686812,1.0
1,100,2.0,3.5,0.05,10,20,26,0.1710081908876375,0.13851395010550763,1.0
1,100,2.0,3.5,0.05,10,20,27,0.17329158810822962,0.14613918578081886,1.0
1,100,2.0,3.5,0.05,10,20,28,0.18455093708249573,0.154221178938431,1.0
1,100,2.0,3.5,0.05,10,20,29,0.20181298305634982,0.16322456891707976,1.0
1,100,2.0,3.5,0.05,10,20,30,0.20455992708112228,0.17119226735257026,1.0
1,100,2.0,3.5,0.05,10,20,31,0.20787186754735348,0.18110946884091447,1.0
1,100,2.0,3.5,0.05,10,20,32,0.22154259636154783,0.19177419807963642,1.0
1,100,2.0,3.5,0.05,10,20,33,0.224348849405037,0.20081175317459327,1.0
1,100,2.0,3.5,0.05,10,20,34,0.24257700807851268,0.20773569091885277,1.0
1,100,2.0,3.5,0.05,10,20,35,0.24686754735356922,0.21481348874377254,1.0
1,100,2.0,3.5,0.05,10,20,36,0.25693291213524955,0.22169850104259012,1.0
1,100,2.0,3.5,0.05,10,20,37,0.2588588944798911,0.2306895922036734,1.0
